region,unemployment,month,earthquake,period,zone
XII,5.3,2012m1,1,1,0
XII,5.1,2012m2,1,1,0
XII,3.6,2012m3,1,2,0
XII,3.1,2012m4,1,2,0
XII,3,2012m5,1,2,0
XII,3,2012m6,1,2,0
XII,3.3,2012m7,1,2,0
XII,3.4,2012m8,1,2,0
XII,4.3,2012m9,1,2,0
XII,4.6,2012m10,1,2,0
XII,4.3,2012m11,1,2,0
XII,4.1,2012m12,1,2,0
XII,4,2013m1,1,2,0
XII,3.6,2013m2,1,2,0
XII,3,2013m3,1,3,0
XII,1.9,2013m4,1,3,0
XII,2.7,2013m5,1,3,0
XII,3.7,2013m6,1,3,0
XII,4.8,2013m7,1,3,0
XII,4.1,2013m8,1,3,0
XII,4.3,2013m9,1,3,0
XII,4.2,2013m10,1,3,0
XII,4.1,2013m11,1,3,0
XII,3.8,2013m12,1,3,0
XII,2.8,2014m1,1,3,0
XII,2.4,2014m2,1,3,0
XIV,10.3,2009m3,0,-1,0
XIV,12.3,2009m4,0,-1,0
XIV,13,2009m5,0,-1,0
XIV,13.3,2009m6,0,-1,0
XIV,12.1,2009m7,0,-1,0
XIV,8.8,2009m8,0,-1,0
XIV,7.7,2009m9,0,-1,0
XIV,7.7,2009m10,0,-1,0
